logP,MolecularWeight,TPSA,Chi0v,Chi1v,NumHDonors,NumHAcceptors,NumRotatableBonds,QED,SMILES,Lipophilicity
2.9270000000000014,373.5220000000002,52.650000000000006,16.512654433579353,10.467234220327436,1,4,7,0.8107732952847856,CCC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC3=C2CN(C3)CCN(C)C,1.7371428571428578
5.385200000000004,432.57400000000007,51.02,18.281902426708935,11.406711185211744,0,7,5,0.3738524095809571,C[C@@H](C1=NC2=CC=CC=C2S1)N(C)CN3C(=O)C4=CC=CC=C4C(=N3)C5=CC=CS5,3.1510000000000025
5.708600000000004,256.348,0.0,11.557959742272434,7.197411517727951,0,0,1,0.382628675274595,CCC1=CC2=C(C=C1)C=CC3=C2C=CC4=CC=CC=C43,2.956600000000001
4.171400000000003,607.586,150.32,24.227715112537762,13.510545217909204,1,10,7,0.38777219348206693,CCOC(=O)C1CN(CCN1C(=O)C2=C(OC(=N2)C3=C4C=CC(=NC4=C(C=C3)OC)C(F)(F)F)C(C)N)C(=O)OC(C)C,2.109425
1.092,221.21200000000002,66.84,8.497487239902357,4.888904241799854,1,3,3,0.8292386542156397,C1[C@H](OC(=O)N1CC2=CC=CC=C2)C(=O)O,0.9331999999999999
2.8617000000000017,279.408,12.03,12.171974149654789,8.080569126813682,1,2,0,0.678941483984941,C1CCN/C(=C/2\C=CC=C3C2=CC4=CC=CC=C4S3)/C1,1.6995809523809522
3.207200000000002,468.6020000000003,91.85,20.85009806764538,12.002122013444726,2,7,7,0.6446933802131382,CCNC(=O)NC1=CC=C(C=C1)C2=NC3=C(CO[C@]3(C)CCN(C)C)C(=N2)N4CCOC[C@@H]4C,2.6361000000000008
3.0458000000000016,246.354,45.05,11.493290087468516,6.451986844995737,1,3,7,0.7520417736085944,CCNC(C)(CCCOC1=CC=C(C=C1)C)C#N,1.3712999999999997
2.630900000000001,355.60999999999996,41.129999999999995,12.413361052312906,6.531048159391463,2,2,2,0.8561660648292823,C1C[C@@H](CNC1)NC(=O)C2=C(C=C(C=C2F)Br)F.Cl,2.457799999999999
1.7176000000000002,301.0830000000001,37.38,9.522787579744833,8.402391402184307,0,2,1,0.3426965548995823,C1CI1N2C(=O)C3=CC=CC=C3C2=O,1.4136999999999997
